time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.06170314119e-07,-1.0492299294e-07,50.0080699422,6.2830263494,6.28271513622,0.0,1.20898583925e-05,-1.28186100097e-05,0.268973024913,-0.00855874135555,-0.0320900463996,0.0,488.72573278044234,486.3285446870006,487.946022334718,487.3068353703333
0.12000000000000001,1.99509816449e-05,-7.11707053569e-06,50.0307261584,6.28234359317,6.28119774137,0.0,0.000862096402524,-0.000291464202217,0.486166302092,-0.0177196359304,-0.0143221021687,0.0,472.0766567133312,473.44534928496455,473.0483865635901,472.34267513378853
0.18,0.000123976490067,-4.95834273974e-05,50.0665783446,6.28152799194,6.28027683808,0.0,0.00271204023656,-0.00123556715729,0.708794437689,-0.00640738825427,-0.0174841988783,0.0,474.3509832341749,474.1082472716415,474.32759349764257,475.1955249310695
0.23999999999999996,0.000346046476978,-0.000156678588315,50.1105528062,6.28122115157,6.27909494656,0.0,0.00479503295545,-0.0023667126821,0.756989536955,-0.00264509209841,-0.0245407178532,0.0,421.00238698621786,420.39147360854554,420.48481681928325,420.8106632340678
0.3,0.000719529704956,-0.000337932337877,50.1579834892,6.28100208688,6.27766911129,0.0,0.0077949010367,-0.00369325210898,0.823986242873,-0.00574315101103,-0.0222540868121,0.0,425.8910444116266,426.08645857993423,427.947840696393,427.68415901684455
0.36000000000000004,0.00129837255468,-0.000602595888728,50.2090386446,6.28090795498,6.27602646359,0.0,0.0116387279313,-0.00514861587445,0.87781124843,0.00569076898698,-0.040351565757,0.0,423.2557155147145,421.6952236392728,422.4432981976112,423.4279876697672
0.4200000000000001,0.00215976584337,-0.000958383387778,50.2655694239,6.28183338547,6.27410501031,0.0,0.017300269847,-0.0066382228992,1.00644159323,0.0299750948496,-0.0191265865131,0.0,445.29823307862114,447.030441265201,446.2343356147553,448.2119973015767
0.48000000000000015,0.00341436793802,-0.00137889831193,50.3316018903,0.00137042912372,6.27259286975,0.0,0.0246662865233,-0.00710660470621,1.19446171856,0.0655903627725,-0.0415369358614,0.0,465.97283540634663,464.21768606803994,463.55746173435705,466.3483607198047
0.5400000000000001,0.00514600035394,-0.00175708997971,50.4083725703,0.00565986300726,6.2697680972,0.0,0.0333476448892,-0.0050359078546,1.36436880974,0.0812435217465,-0.0614720432402,0.0,461.01287951483505,459.43382032674924,459.11092659117,460.35474253825333
0.6000000000000002,0.0074532508378,-0.00191600715303,50.4943081531,0.0110301979317,6.26612341431,0.0,0.0439515649065,0.000290930771568,1.49997234268,0.102318620566,-0.0593289721618,0.0,449.3600675133591,449.5311606136278,449.5417776356228,451.25250447911924
0.6600000000000003,0.010451136616,-0.00165055484964,50.5870388335,0.0169150444707,6.26305576752,0.0,0.056305631252,0.00916277799227,1.59091370744,0.0878738090052,-0.0383850420249,0.0,435.1375718682485,436.8853168623353,437.19106017666644,435.9943186972745
0.7200000000000003,0.0142394374547,-0.000743518571922,50.6847745898,0.0226355393701,6.26037141638,0.0,0.0702096089115,0.0216138094025,1.6668211197,0.107165923355,-0.0621480352572,0.0,433.6429881693466,431.6410153247299,430.11025489756156,431.7487842494443
0.7800000000000004,0.019015163345,0.00112387528391,50.791071883,0.0289947446488,6.25644028451,0.0,0.0894250484315,0.0413804185838,1.87607161626,0.103519688341,-0.0732917314187,0.0,474.8168706736225,473.9583245418143,471.899962975883,471.6275622749919
0.8400000000000004,0.0249405619298,0.00421892226134,50.9062842783,0.0350766166448,6.25210386499,0.0,0.108521816195,0.0623993977028,1.96416063887,0.09666655117,-0.0703125739524,0.0,436.0059638925539,436.25062729319416,437.6533710490382,437.09169215423316
0.9000000000000005,0.0321455372941,0.00874957880292,51.0282257616,0.040978510416,6.2477569364,0.0,0.132095636183,0.0892413305258,2.10027386581,0.10155952305,-0.0771030275585,0.0,451.7891102213343,451.23731714958615,452.6834454333829,453.0850766012503
0.9600000000000005,0.0407300885204,0.0148689928361,51.1547359296,0.0472711911685,6.24363981383,0.0,0.154443201608,0.115292721657,2.11665908411,0.110798467364,-0.0555344614806,0.0,413.99208896093836,415.8813461377585,413.25550974022826,414.0794982783102
1.0200000000000005,0.05061298299,0.0225304824565,51.2794029605,0.0539619040773,6.24038578556,0.0,0.175241199822,0.140601340922,2.03901119181,0.112900609144,-0.0517526826493,0.0,380.1394398240683,380.49914079422814,382.6039087572365,382.81720633422026
1.0800000000000005,0.0620694738582,0.032164812948,51.405763761,0.0608527501738,6.23695299789,0.0,0.206976974888,0.181259085128,2.1727068874,0.118478366982,-0.0713187082422,0.0,453.20197828129426,451.62434640484804,451.4670953569588,451.9284093760344
1.1400000000000006,0.0755170561397,0.0443994841678,51.5403018771,0.0680922030691,6.23268588504,0.0,0.241722960781,0.227317135948,2.31154502296,0.124690281429,-0.0707214145503,0.0,454.6551439275818,454.69923716513347,453.6915002525451,454.2027312762
1.2000000000000006,0.0909593446588,0.0593093358113,51.6795989232,0.0757792159739,6.22856700518,0.0,0.273393863302,0.270356635133,2.33156938,0.134208444884,-0.0647958397448,0.0,416.430149644029,416.9442290579966,416.8319583562233,417.67898950713226
1.2600000000000007,0.108598270889,0.077253343464,51.8240852344,0.0841126777286,6.22470330576,0.0,0.314976929542,0.328648712864,2.48420936158,0.146903509597,-0.0636054804539,0.0,459.3238773837361,459.4153733092085,459.2846834922453,460.30748254235067
